"","x"
"1","CG14662"
"2","elm"
"3","NPFR"
"4","CG18744"
"5","CG45263"
"6","CG31454"
"7","CG9801"
"8","Ir85a"
"9","Fst"
"10","CG9471"
"11","MtnA"
"12","CG42394"
"13","Ugt86Da"
"14","fabp"
"15","CG12594"
"16","CG18547"
"17","CG3397"
"18","GstD2"
"19","GstD3"
"20","GstD4"
"21","GstD5"
"22","GstD8"
"23","alphagamma-element:CR32865"
"24","Hsp70Bc"
"25","CG5724"
"26","CG5999"
"27","CG10126"
"28","CG45080"
"29","CR44138"
"30","CCHa2"
"31","CG9312"
"32","CCHa1"
"33","Cys"
"34","smp-30"
"35","CG6218"
"36","CG44014"
"37","AOX1"
"38","CG5399"
"39","glob1"
"40","Scp2"
"41","Patr-1"
"42","sr"
"43","CG15803"
"44","CG14302"
"45","CG14292"
"46","bnl"
"47","CG4562"
"48","CG4783"
"49","MtnC"
"50","MtnB"
"51","MtnE"
"52","MtnD"
"53","CG7084"
"54","CG34288"
"55","Pebp1"
"56","Gclm"
"57","CCAP"
"58","CG17109"
"59","CG16723"
"60","Hsp68"
"61","AstA"
"62","CG11893"
"63","CG10550"
"64","Kaz-m1"
"65","CG6277"
"66","CG3348"
"67","CG12428"
"68","AstA-R2"
"69","SP1029"
"70","stg"
"71","Jon99Ciii"
"72","Jon99Cii"
"73","mesh"
"74","CG13912"
"75","CG1246"
"76","Faa"
"77","CG14989"
"78","CG13704"
"79","Con"
"80","yip7"
"81","Jon65Aiv"
"82","Jon65Aiii"
"83","CG6602"
"84","CG42714"
"85","ImpL3"
"86","sfl"
"87","CG15829"
"88","Dbi"
"89","CG8620"
"90","CG8562"
"91","CG8539"
"92","CG32368"
"93","exex"
"94","GstO3"
"95","h"
"96","CG5804"
"97","Tsp66E"
"98","CG13315"
"99","Hsp67Bc"
"100","Hsp26"
"101","Hsp23"
"102","Hsp27"
"103","aay"
"104","CG8177"
"105","CG32054"
"106","CG42825"
"107","chrb"
"108","CAH2"
"109","Nplp2"
"110","CG13482"
"111","CG3868"
"112","HGTX"
"113","CG18649"
"114","CG7272"
"115","Eip71CD"
"116","CG42514"
"117","Mip"
"118","noe"
"119","Jon74E"
"120","CG32195"
"121","CG9629"
"122","CG42674"
"123","Ssk"
"124","CG43218"
"125","CG34212"
"126","CG3270"
"127","Tsp42Ea"
"128","Tsp42Ec"
"129","Cyp9b2"
"130","Gadd45"
"131","CG2065"
"132","CG34430"
"133","CG2915"
"134","Mal-A2"
"135","ptc"
"136","Mmp2"
"137","CG1688"
"138","CG12934"
"139","luna"
"140","alphaTry"
"141","epsilonTry"
"142","betaTry"
"143","Tret1-1"
"144","Damm"
"145","Cyp6g1"
"146","CG12374"
"147","Cyp9h1"
"148","sug"
"149","CG13321"
"150","CG6357"
"151","Arc1"
"152","CG10131"
"153","mspo"
"154","igl"
"155","CG43729"
"156","CG12963"
"157","Picot"
"158","CG34458"
"159","GstS1"
"160","veil"
"161","CG5773"
"162","CG5767"
"163","CG10911"
"164","CG34386"
"165","Dgp-1"
"166","GstE3"
"167","GstE7"
"168","GstE8"
"169","GstE9"
"170","CG43066"
"171","CG10924"
"172","Rgk2"
"173","CG15093"
"174","l(2)08717"
"175","cora"
"176","CG15126"
"177","cv-2"
"178","CG13492"
"179","Swim"
"180","CG9826"
"181","CG30411"
"182","CG30172"
"183","Dat"
"184","CG9380"
"185","CG17778"
"186","CG11378"
"187","Tsp2A"
"188","dm"
"189","CG2930"
"190","CG42541"
"191","cib"
"192","CG15784"
"193","CR43264"
"194","Act5C"
"195","CG4607"
"196","sn"
"197","Gclc"
"198","CG15347"
"199","CG44325"
"200","Zpr1"
"201","CG15312"
"202","Hk"
"203","CG32683"
"204","CG15211"
"205","CG15210"
"206","CG15203"
"207","CG42249"
"208","CG44422"
"209","Gs2"
"210","Hsc70-3"
"211","GstT4"
"212","inaE"
"213","l(1)G0469"
"214","CR44998"
"215","sog"
"216","CG9914"
"217","CG5010"
"218","Sh"
"219","CG34330"
"220","Mec2"
"221","lcs"
"222","CG1678"
"223","IA-2"
"224","CG5011"
"225","CG31663"
"226","Cyp309a1"
"227","CG31690"
"228","CG31689"
"229","CG33281"
"230","Thor"
"231","CG34176"
"232","CG15422"
"233","CG15423"
"234","Cyp28d1"
"235","Cpr"
"236","CG9500"
"237","CG7191"
"238","Sirup"
"239","Mur29B"
"240","Peritrophin-15a"
"241","Dh31"
"242","Bace"
"243","CG9555"
"244","CG9568"
"245","CR44150"
"246","CG4839"
"247","Sur"
"248","Vha100-5"
"249","CG44008"
"250","Vha68-2"
"251","CG16826"
"252","Cyp28a5"
"253","nAChRalpha5"
"254","UK114"
"255","CG4587"
"256","ppk17"
"257","beat-IIIb"
"258","Socs36E"
"259","CG10621"
"260","CG15169"
"261","CG10650"
"262","lectin-37Db"
"263","CG17570"
"264","Hr38"
