"","x"
"1","CG14642"
"2","CG1074"
"3","CG11000"
"4","Sodh-1"
"5","CG18744"
"6","puc"
"7","Ctr1B"
"8","CG45263"
"9","Ir85a"
"10","CG9837"
"11","Nmdmc"
"12","Fst"
"13","CG12950"
"14","MtnA"
"15","CG42394"
"16","Ugt86Da"
"17","PGRP-LB"
"18","CG12594"
"19","CG18547"
"20","GstD2"
"21","GstD3"
"22","GstD5"
"23","CG18549"
"24","alphagamma-element:CR32865"
"25","Hsp70Bc"
"26","Octbeta2R"
"27","CG5999"
"28","CR44138"
"29","CCHa2"
"30","CCHa1"
"31","Cys"
"32","smp-30"
"33","CG44014"
"34","CG5399"
"35","CG42342"
"36","Scp2"
"37","sr"
"38","fru"
"39","CG18208"
"40","CG14292"
"41","bnl"
"42","CG4562"
"43","MtnC"
"44","MtnB"
"45","MtnE"
"46","MtnD"
"47","CG31431"
"48","SKIP"
"49","CG7084"
"50","CG7059"
"51","Pebp1"
"52","CCAP"
"53","CG10301"
"54","Hsp68"
"55","CG43222"
"56","slo"
"57","AstA"
"58","CG11893"
"59","CG31288"
"60","CG13659"
"61","CG10550"
"62","CG10562"
"63","Kaz-m1"
"64","CG31075"
"65","CG6277"
"66","Gp93"
"67","stg"
"68","Ptp99A"
"69","hdc"
"70","CG15536"
"71","mesh"
"72","CR43334"
"73","emc"
"74","scf"
"75","Hsp83"
"76","CG14989"
"77","CG13704"
"78","Con"
"79","yip7"
"80","Jon65Aiv"
"81","Jon65Aiii"
"82","CG6602"
"83","BG642312"
"84","CG42714"
"85","CG10163"
"86","CG15829"
"87","Dbi"
"88","CG8620"
"89","CG8562"
"90","CG32368"
"91","TrpA1"
"92","Tsp66E"
"93","Argk"
"94","CG13315"
"95","Hsp67Bc"
"96","Hsp26"
"97","Hsp23"
"98","Hsp27"
"99","phol"
"100","path"
"101","trn"
"102","Nplp2"
"103","stv"
"104","CG13482"
"105","CG3868"
"106","CG7272"
"107","Eip71CD"
"108","Mip"
"109","noe"
"110","CG9629"
"111","CG7433"
"112","Ssk"
"113","Rcd2"
"114","asparagine-synthetase"
"115","CG43218"
"116","Tsp42Ec"
"117","Cyp9b1"
"118","Cyp9b2"
"119","Gadd45"
"120","fa2h"
"121","Drat"
"122","CG2065"
"123","CG2915"
"124","CG14757"
"125","Mal-A2"
"126","Mmp2"
"127","CG12934"
"128","alphaTry"
"129","sca"
"130","sug"
"131","CG13321"
"132","Arc1"
"133","CG12868"
"134","mspo"
"135","igl"
"136","CG43729"
"137","Picot"
"138","CG34458"
"139","CG43110"
"140","veil"
"141","CG5773"
"142","CG5767"
"143","CG10911"
"144","CG34386"
"145","GstE3"
"146","GstE6"
"147","CG10924"
"148","l(2)08717"
"149","Jheh1"
"150","Jheh2"
"151","CG15126"
"152","CG13868"
"153","dpr"
"154","bw"
"155","Pal2"
"156","CG30172"
"157","CR40469"
"158","CG17778"
"159","svr"
"160","CR44892"
"161","CG42259"
"162","CG3655"
"163","Tsp2A"
"164","CG3835"
"165","CR34335"
"166","CG2930"
"167","CG42541"
"168","Fas2"
"169","CG15784"
"170","CG15772"
"171","CR43264"
"172","Nep1"
"173","C3G"
"174","CG9650"
"175","CG15347"
"176","Zpr1"
"177","CG45060"
"178","CG12643"
"179","CG32683"
"180","CG42249"
"181","Hsc70-3"
"182","cac"
"183","mRpS30"
"184","CG9914"
"185","Sh"
"186","CG34330"
"187","Gs1"
"188","CG43349"
"189","CG5011"
"190","CG31663"
"191","CG31690"
"192","Thor"
"193","CG34176"
"194","CG15422"
"195","CG15628"
"196","Cyp28d1"
"197","stai"
"198","CG9500"
"199","CG7191"
"200","Sirup"
"201","Mur29B"
"202","Dh31"
"203","rost"
"204","CG9555"
"205","CG9568"
"206","AstC"
"207","CG44008"
"208","CG6770"
"209","Vha68-2"
"210","Cyp28a5"
"211","nAChRalpha5"
"212","elB"
"213","CG4587"
"214","CaBP1"
"215","ppk17"
"216","CG13284"
"217","Socs36E"
"218","CG10602"
"219","CG10621"
"220","CG10650"
"221","lectin-37Db"
"222","ref(2)P"
"223","fok"
"224","CG17570"
"225","Hr38"
"226","CG31997"
"227","mt:Cyt-b"
