"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG4587",0,2.62105066115411,0.979,0.115,0,"0","CG4587"
"CG13565",0,2.47611052667201,1,1,0,"0","CG13565"
"CG42394",0,2.05244873722231,0.938,0.547,0,"0","CG42394"
"Ir85a",0,1.64582937107343,0.709,0.088,0,"0","Ir85a"
"CG15203",0,1.40354272319342,0.563,0.046,0,"0","CG15203"
"CG43207",0,1.28462292144164,0.943,0.434,0,"0","CG43207"
"NPFR",0,1.23889882453757,0.821,0.175,0,"0","NPFR"
"exex",0,1.1423049520441,0.784,0.143,0,"0","exex"
"dpr",0,1.05503837543178,0.677,0.11,0,"0","dpr"
"Pvf3",0,1.00349312141782,0.593,0.056,0,"0","Pvf3"
"GstD1",0,-1.16970921582487,0.963,0.995,0,"0","GstD1"
"mex1",0,-1.28408210834858,0.499,0.9,0,"0","mex1"
"CtsB1",0,-1.43671737570234,0.918,0.994,0,"0","CtsB1"
"IA-2",0,-1.81761397355076,0.989,0.991,0,"0","IA-2"
"fabp",0,-1.90649416481094,0.302,0.894,0,"0","fabp"
"Act5C",1.53116152131571e-304,-1.14207009680033,0.88,0.984,1.42688942171411e-300,"0","Act5C"
"CG44008",7.18157779121372e-304,-2.22054559158341,0.92,0.969,6.69251234363207e-300,"0","CG44008"
"CG43729",5.27658787423186e-289,1.06652170855559,0.909,0.42,4.91725223999667e-285,"0","CG43729"
"Esyt2",5.52341551554073e-270,0.921056257696068,0.88,0.304,5.14727091893241e-266,"0","Esyt2"
"porin",3.76568234815442e-266,-0.748357615972555,0.92,0.981,3.50923938024511e-262,"0","porin"
"tap",9.37090436465104e-266,0.960859693906156,0.982,0.445,8.7327457774183e-262,"0","tap"
"CG3814",3.06859392194881e-262,-1.0868098466708,0.736,0.932,2.8596226758641e-258,"0","CG3814"
"Trx-2",4.93522739714194e-261,-1.29710761395506,0.621,0.896,4.59913841139657e-257,"0","Trx-2"
"Sod",1.31974327929492e-258,-0.764078483357943,0.909,0.975,1.22986876197494e-254,"0","Sod"
"CG17574",1.86276463010271e-255,-1.09611207175257,0.62,0.896,1.73591035879272e-251,"0","CG17574"
"mt:CoIII",2.38702489397761e-249,-0.69522508222224,0.997,0.999,2.22446849869774e-245,"0","mt:CoIII"
"Fer2LCH",9.86048714194175e-247,-0.680891861597221,0.977,0.992,9.18898796757552e-243,"0","Fer2LCH"
"CG14509",8.4381182621989e-246,0.816311062335382,0.645,0.143,7.86348240854315e-242,"0","CG14509"
"RpS15",2.06381137301807e-241,-0.453347751739846,0.988,0.999,1.92326581851554e-237,"0","RpS15"
"CG1746",1.12568284338593e-240,-0.627044594950231,0.964,0.99,1.04902384175134e-236,"0","CG1746"
"7B2",4.56712254040858e-240,-0.608117787563758,0.998,0.996,4.25610149540675e-236,"0","7B2"
"ImpL3",1.49128256858095e-239,-1.90369354297576,0.375,0.792,1.38972622566059e-235,"0","ImpL3"
"mt:CoII",2.51174558033238e-238,-0.709867557106134,0.997,1,2.34069570631175e-234,"0","mt:CoII"
"tsr",2.70725735940796e-236,-0.691362590779893,0.931,0.983,2.52289313323227e-232,"0","tsr"
"lea",3.29395528773317e-235,0.742444153873759,0.544,0.096,3.06963693263854e-231,"0","lea"
"veil",7.54881308038381e-224,-1.94157679100804,0.23,0.703,7.03473890960968e-220,"0","veil"
"Xrp1",1.37043637423977e-223,-0.866133377007413,0.767,0.95,1.27710965715404e-219,"0","Xrp1"
"mt:ATPase6",9.85414730880621e-223,-0.749620628458285,0.983,0.997,9.18307987707651e-219,"0","mt:ATPase6"
"RpS11",9.95499317671865e-223,-0.441208796381611,0.991,0.997,9.27705814138411e-219,"0","RpS11"
"CG15347",1.02492639807059e-222,-1.53116274094146,0.157,0.671,9.55128910361985e-219,"0","CG15347"
"mt:CoI",8.19694455604402e-221,-0.554227264652274,0.999,1,7.63873263177742e-217,"0","mt:CoI"
"CG44250",9.22460260540134e-220,-0.778939134591858,0.881,0.958,8.59640716797351e-216,"0","CG44250"
"Cyp1",1.93991600013749e-217,-0.60235631380544,0.946,0.982,1.80780772052813e-213,"0","Cyp1"
"RpL19",2.43369441751039e-217,-0.571466030825929,0.959,0.99,2.26795982767793e-213,"0","RpL19"
"mt:Cyt-b",4.72554238797752e-216,-0.674703368571935,0.993,0.999,4.40373295135625e-212,"0","mt:Cyt-b"
"Ssk",8.01311722525722e-216,-2.02319435401662,0.355,0.734,7.4674239422172e-212,"0","Ssk"
"Men",1.12608894763679e-214,0.839938979859761,0.643,0.186,1.04940229030272e-210,"0","Men"
"chic",1.14030840986607e-214,-0.863776423191806,0.707,0.905,1.06265340715419e-210,"0","chic"
"CG3987",4.3749916436048e-213,-1.17416768868671,0.187,0.683,4.07705471267532e-209,"0","CG3987"
"mirr",5.48679948866565e-212,-1.55041023112227,0.039,0.585,5.11314844348752e-208,"0","mirr"
"Ca-alpha1T",5.3309695902094e-210,0.806689684375466,0.715,0.229,4.96793056111614e-206,"0","Ca-alpha1T"
"ppk17",8.04115878915146e-207,0.740515360043664,0.617,0.138,7.49355587561024e-203,"0","ppk17"
"NLaz",1.7579580890151e-204,-1.00016381475628,0.859,0.939,1.63824114315318e-200,"0","NLaz"
"CCHa1-R",1.15355858460172e-201,0.721419904464783,0.658,0.184,1.07500124499034e-197,"0","CCHa1-R"
"CG12825",7.64372575842197e-200,-0.682436875258424,0.95,0.976,7.12318803427344e-196,"0","CG12825"
"CG7272",1.35437823256789e-198,-1.41520944809168,0.22,0.684,1.26214507493002e-194,"0","CG7272"
"RpS27A",6.96676111733149e-198,-0.445889053311862,0.981,0.996,6.49232468524122e-194,"0","RpS27A"
"CG4300",1.60484147130156e-197,0.7447970194851,0.657,0.201,1.49555176710592e-193,"0","CG4300"
"RpL39",9.51354606597576e-197,-0.400971707306114,0.991,0.998,8.86567357888281e-193,"0","RpL39"
"CG40127",1.47972640777861e-193,-0.485337864142472,0.987,0.991,1.37895703940889e-189,"0","CG40127"
"GstO3",2.89879706620078e-193,-1.029539631629,0.621,0.857,2.7013889859925e-189,"0","GstO3"
"CG4577",1.2718508590693e-192,0.582200318942616,0.998,0.914,1.18523781556668e-188,"0","CG4577"
"CG34176",2.263823942495e-192,-2.08603339414173,0.403,0.718,2.10965753201109e-188,"0","CG34176"
"CG15422",7.73786626048885e-192,-1.91547641305635,0.368,0.707,7.21091756814956e-188,"0","CG15422"
"CG13704",6.77912874447812e-190,-1.50530862930544,0.264,0.671,6.31747007697916e-186,"0","CG13704"
"ATPsyn-beta",5.74708482226333e-189,-0.677803240816614,0.891,0.965,5.3557083458672e-185,"0","ATPsyn-beta"
"RpL21",9.20944909707039e-189,-0.47388304917175,0.97,0.993,8.5822856135599e-185,"0","RpL21"
"CG17778",1.42887102403019e-188,0.762349741134756,0.974,0.705,1.33156490729373e-184,"0","CG17778"
"Crc",1.0083272358388e-187,-0.649971462309604,0.951,0.984,9.39660151078176e-184,"0","Crc"
"smp-30",1.63347509357415e-187,-1.79120509457815,0.474,0.793,1.52223543970175e-183,"0","smp-30"
"PHGPx",9.18402819070484e-179,-0.862382549187188,0.431,0.786,8.55859587091784e-175,"0","PHGPx"
"CG10650",3.06320271429448e-177,-1.38829843306791,0.177,0.614,2.85459860945103e-173,"0","CG10650"
"RpL23",1.23956572219873e-176,-0.377273221132139,0.996,0.997,1.155151296517e-172,"0","RpL23"
"RpS27",1.28851463870834e-173,-0.438720852624357,0.985,0.996,1.2007667918123e-169,"0","RpS27"
"RpL41",2.52730346776609e-172,-0.439442694188082,0.991,0.998,2.35519410161122e-168,"0","RpL41"
"RpS25",2.58745803261028e-170,-0.353176011458213,0.995,0.998,2.41125214058952e-166,"0","RpS25"
"Vha16-1",6.57904655174414e-170,-0.652636609728936,0.913,0.957,6.13101348157037e-166,"0","Vha16-1"
"Kaz-m1",1.5315693549611e-168,-1.53679892838516,0.545,0.777,1.42726948188825e-164,"0","Kaz-m1"
"Oatp74D",2.50435461542247e-168,0.673687903717895,0.554,0.153,2.3338080661122e-164,"0","Oatp74D"
"Fer1HCH",3.18096616685432e-168,-0.550963423278703,0.97,0.991,2.96434237089154e-164,"0","Fer1HCH"
"CG4781",4.66839265566194e-168,-0.613227845727505,0.933,0.967,4.35047511581136e-164,"0","CG4781"
"CG13784",5.563034188094e-167,0.783289534766507,0.601,0.195,5.18419155988479e-163,"0","CG13784"
"CG9380",1.45046907088119e-162,-1.09708387730367,0.048,0.509,1.35169212715418e-158,"0","CG9380"
"CG15126",1.8567729666929e-162,-1.22810244458983,0.128,0.57,1.73032672766111e-158,"0","CG15126"
"svr",1.98164630783079e-161,0.471955429789979,0.996,0.957,1.84669619426751e-157,"0","svr"
"cathD",3.48082353488501e-161,-0.782475551844914,0.88,0.953,3.24377945215934e-157,"0","cathD"
