"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mgat4c",0,0.892128515277723,0.471,0.037,0,"Enterocyte.Immature.Distal","Mgat4c"
"Krt8",2.31729666553706e-235,1.01994617771415,1,0.984,3.70095450452923e-231,"Enterocyte.Immature.Distal","Krt8"
"Gsdmc4",2.50933019790202e-229,1.17323693014957,0.627,0.116,4.00765125906932e-225,"Enterocyte.Immature.Distal","Gsdmc4"
"Krt19",7.16187451840627e-228,1.1902688437216,1,0.962,1.14382297933467e-223,"Enterocyte.Immature.Distal","Krt19"
"Reg3g",1.37233097345794e-217,2.03731033425182,0.982,0.652,2.19174979770968e-213,"Enterocyte.Immature.Distal","Reg3g"
"Slc51a",1.47706886168214e-201,1.2782140418668,0.842,0.267,2.35902667899255e-197,"Enterocyte.Immature.Distal","Slc51a"
"St3gal4",1.4286152944588e-186,1.13317130941747,0.943,0.377,2.28164148678015e-182,"Enterocyte.Immature.Distal","St3gal4"
"Gsdmc2",3.90887212229071e-180,0.728190223958857,0.426,0.06,6.2428596665105e-176,"Enterocyte.Immature.Distal","Gsdmc2"
"Apol10a",1.90737629443367e-176,0.87079624521779,0.637,0.147,3.04627067984002e-172,"Enterocyte.Immature.Distal","Apol10a"
"Slc51b",5.79427954926352e-174,1.05217114438496,0.699,0.184,9.25404386812877e-170,"Enterocyte.Immature.Distal","Slc51b"
"Reg3b",1.34899208921668e-171,2.08592809677543,0.932,0.616,2.15447526568795e-167,"Enterocyte.Immature.Distal","Reg3b"
"Lgals3",1.77437261571305e-171,1.02806820819367,0.898,0.388,2.83385050455531e-167,"Enterocyte.Immature.Distal","Lgals3"
"Cdkn2b",8.67671021775812e-167,0.928533033661628,0.674,0.178,1.38575738887815e-162,"Enterocyte.Immature.Distal","Cdkn2b"
"Lypd8",4.50233633909779e-153,0.793819134499894,0.998,0.942,7.19068136717308e-149,"Enterocyte.Immature.Distal","Lypd8"
"Lgals4",3.11155841541519e-151,0.594821888845129,1,0.998,4.9694699452596e-147,"Enterocyte.Immature.Distal","Lgals4"
